terminal_state,terminal_reason_code,count
BRANCH_FILTERED,AUCTION_BUY_SELL_FILTER,73
BRANCH_FILTERED,AUCTION_LEFT_PRESSURE_FILTER,38
BRANCH_FILTERED,AUCTION_MARKET_CAP_FILTER,682
BRANCH_FILTERED,AUCTION_PRICE_RANGE_FILTER,30
BRANCH_FILTERED,AUCTION_VOLUME_RATIO_FILTER,621
BRANCH_FILTERED,LIMIT_DOWN_UNBUYABLE,1
BRANCH_FILTERED,LIMIT_UP_UNBUYABLE,27
BRANCH_FILTERED,OPEN_RANGE_FILTER,616
CASH_BLOCKED,GLOBAL_CASH_INSUFFICIENT,45
DATA_INVALID,PAUSED,34
FILLED,FILLED,132
MOTHERBOARD_GATED_OUT,BULL_COOLDOWN,51
MOTHERBOARD_GATED_OUT,FB_PCT_BLOCK,4
MOTHERBOARD_GATED_OUT,SHOCK_COOLDOWN,3
MOTHERBOARD_GATED_OUT,STOPLOSS_COOLDOWN,6
POSITION_BLOCKED,DUPLICATE_POSITION,3
RANKED_OUT,RANK_OUT,10
ROUTED_OUT,ROUTE_DISABLED,24
SLOT_BLOCKED,BRANCH_SLOT_FULL,33
SLOT_BLOCKED,SLOTS_FILLED,61
SLOT_BLOCKED,TAKE_FILLED,30
