hook_id,module,symbol,call_sites,trigger_dates,trigger_codes,affected_fields,behavior,semantic_type,disposition,reason,evidence,affects_selection,affects_state,affects_order,affects_fill,affects_nav,target_owner,handoff_requirement,disable_requirement,delete_requirement,acceptance_test,status,entry_count,year_tags,runtime_callsite_count,secondary_reference_count,unused_runtime,wave,direct_effect_scope,downstream_risk,empty_config,definition_count,forwarder_count,consumer_count,external_evidence_ref,external_evidence_status
engine.immediate_sell_cash_release,rebuild_from_archive.project_compat,EmotionGateJQCompat.immediate_sell_cash_release,"rebuild_from_archive/engine\core.py:872:            if getattr(self.compat, ""immediate_sell_cash_release"", False):; rebuild_from_archive/project_compat.py:35:    immediate_sell_cash_release = True",,,available_cash; locked_cash; positions_value,Release sell proceeds immediately after fill instead of waiting until end-of-day rollover.,market_rule,move_to_local_quant,"This is account and cash-settlement semantics, not project alpha logic.",rebuild_from_archive/project_compat.py sets immediate_sell_cash_release=True and engine/core.py consumes it in the sell-fill cash path.,False,False,True,True,True,local_quant,local_quant needs a first-class switch for sell-cash release timing so project code stops carrying the behavior flag.,Disable only after local_quant can reproduce the intended cash-release policy in native mode.,Delete when engine/core.py no longer checks compat.immediate_sell_cash_release and the policy lives in local_quant.,Inventory-only: verify engine/core.py still references immediate_sell_cash_release and classify it as local_quant-owned.,handoff_pending,1,,2,8,False,,cash_settlement,cash_path,False,0,0,2,,
market_data.corrupted_daily_limit_windows,rebuild_from_archive.compat.market_data,CORRUPTED_DAILY_LIMIT_WINDOWS,"rebuild_from_archive/engine\data_api.py:143:    def _should_bypass_history_fastpath(self, unit, fields, end_dt):; rebuild_from_archive/engine\data_api.py:149:                return bool(compat.should_bypass_history_fastpath(unit, fields, end_dt)); rebuild_from_archive/engine\data_api.py:438:                if self._should_bypass_history_fastpath(unit, fields_to_get, end_dt):; rebuild_from_archive/engine\data_api.py:820:            return self.compat.load_first_seal_year(year); rebuild_from_archive/engine\data_api.py:823:    def get_project_board_snapshot(self, date):; rebuild_from_archive/engine\data_api.py:825:            return self.compat.get_project_board_snapshot(date); rebuild_from_archive/project_compat.py:212:    def should_bypass_history_fastpath(self, unit, fields, end_dt):; rebuild_from_archive/project_compat.py:224:    def load_first_seal_year(self, year):; rebuild_from_archive/project_compat.py:247:    def get_project_board_snapshot(self, date):; rebuild_from_archive/project_compat.py:67:                engine.data_api.get_project_board_snapshot(*a, **kw); 母版-20260506-Clone.py:564:        board_df = get_project_board_snapshot(context.previous_date); 母版-20260506-Clone.py:666:        board_df = get_project_board_snapshot(context.previous_date)",,,pre_close; high_limit; low_limit; money; volume; board_snapshot; first_seal_time,Quarantine a known daily-data corruption window by bypassing fast-path history and suppressing selected cached features.,data_correction,investigate,"The 2026 corruption window is a source-data quality concern, but the full root cause and impact scope have not yet been independently verified. JQ vs local data difference possible.",Project currently has an explicit data isolation window used at runtime to bypass fast-path and caching. The root cause and full impact range still need HData audit confirmation.,True,True,False,False,True,hdata_candidate,HData or upstream cache metadata must publish corruption windows and field-level quarantine signals.,Disable only after raw-data quality flags propagate through cache build and runtime readers.,Delete after HData versioned quality metadata replaces project-specific date guards and all dependent caches respect the same rule.,External investigation branch codex/data-quality-propagation-audit at commit b951d3885f09fcc6d455675799a295c569af5439 (not accepted/not merged); requires verification via hdata_candidate queue,investigation_pending,1,,12,17,False,,data_shape,strategy_path,False,5,3,4,"codex/data-quality-propagation-audit branch, commit b951d3885f09fcc6d455675799a295c569af5439",unreviewed
market_data.tail_seal_anomalies,rebuild_from_archive.compat.market_data,TAIL_SEAL_ANOMALIES,"rebuild_from_archive/engine\data_api.py:851:                self.compat.get_tail_seal_override(day_key, sec); rebuild_from_archive/project_compat.py:114:    def get_tail_seal_override(self, date_key, security):; rebuild_from_archive/project_preprocess.py:137:                compat.get_tail_seal_override(f""{date_int:08d}"", code)",2020-07-13; 2021-11-15; 2022-12-26; 2025-08-13,000420.XSHE; 002487.XSHE; 300118.XSHE; 600711.XSHG; 603031.XSHG,first_limit_hit_time; seal_bucket; is_tail_seal,Inject observed first-seal timestamps when minute-derived first hit times diverge from archived reference runs.,unknown,investigate,These point fixes may reflect minute-data issues or JoinQuant snapshot behavior; current evidence does not prove the owner.,rebuild_from_archive/project_preprocess.py and engine/data_api.py both honor get_tail_seal_override for the same keyed timestamps.,True,False,False,False,False,investigation,"Need side-by-side evidence from minute source, derived first-seal cache, and mother reference to decide HData vs JQ archive ownership.",In local-native mode this group can be disabled only after first-seal behavior is proven acceptable without parity timestamps.,"Delete after either HData is fixed and caches are rebuilt, or the project explicitly archives JoinQuant-only seal answers.",tests/test_compat_entrypoints.py::test_call_auction_overrides_apply does not cover this hook; add targeted first-seal evidence before retirement.,investigation_pending,5,2020; 2021; 2022; 2025,3,3,False,,data_shape,strategy_path,False,1,0,2,,
market_data.minute_price_anomalies,rebuild_from_archive.compat.market_data,MINUTE_PRICE_ANOMALIES,"rebuild_from_archive/engine\core.py:1119:                override = self.compat.get_minute_price_override(day_key, norm_time, security); rebuild_from_archive/project_compat.py:82:    def get_minute_price_override(self, date_key, time_key, security):",2020-01-14; 2021-05-19; 2021-08-09; 2022-07-08; 2023-02-28; 2024-03-25; 2025-06-13; 2025-07-11; 2026-01-19,000592.XSHE; 000987.XSHE; 002056.XSHE; 002130.XSHE; 002176.XSHE; 002229.XSHE; 002310.XSHE; 002426.XSHE; 002470.XSHE,close; trade_price,Override minute-bar trade prices at specific timestamps to reproduce archived buy/sell boundary fills.,jq_platform_behavior,archive_jq_only,These are point answers for historical JoinQuant parity and do not describe a reusable market rule.,rebuild_from_archive/engine/core.py applies get_minute_price_override inside _apply_jq_minute_price_anomaly before returning trade prices.,False,False,False,True,True,jq_archive,Keep only in the JoinQuant replay profile; do not move into local-native market data behavior.,Safe first-wave disable candidate for local-native mode if some trade price and NAV drift is acceptable.,Delete once the project formally stops supporting JoinQuant minute-fill parity.,tests/test_compat_entrypoints.py::test_minute_and_execution_overrides,archive_candidate,10,2020; 2021; 2022; 2023; 2024; 2025; 2026,2,4,False,L1A,price,cash_path,False,1,0,1,,
market_data.daily_ipo_close_anomalies,rebuild_from_archive.compat.market_data,DAILY_IPO_CLOSE_ANOMALIES,"rebuild_from_archive/engine\data_api.py:181:                self.compat.get_daily_ipo_close_override(sec, end_int); rebuild_from_archive/engine\data_api.py:229:                    self.compat.get_daily_ipo_close_override(sec, end_int); rebuild_from_archive/project_compat.py:86:    def get_daily_ipo_close_override(self, security, date_int):",2020-08-04; 2020-08-25; 2020-09-16,605123.XSHG; 605255.XSHG; 605369.XSHG; 605399.XSHG,close; high_limit; low_limit; pre_close,Patch IPO sync-delay rows where the parity path expects prior close plus trailing NaN behavior.,jq_platform_behavior,archive_jq_only,"This behavior exists to mimic the historical JoinQuant return shape, not to express a stable local market-data rule.",engine/data_api.py applies get_daily_ipo_close_override in both panel and long-form daily-history anomaly patchers.,True,True,False,False,False,jq_archive,Retain only under a JoinQuant parity profile or archived replay mode.,Can be disabled in local-native mode once IPO handling is expected to follow local data directly.,Delete after the project drops JoinQuant daily-history shape parity.,tools/hook_migration_acceptance.py targeted 2020 IPO override checks,archive_candidate,4,2020,3,4,False,L4,data_shape,strategy_path,False,1,0,2,,
market_data.daily_field_anomalies,rebuild_from_archive.compat.market_data,DAILY_FIELD_ANOMALIES,"rebuild_from_archive/engine\core.py:1211:                        self.compat.get_daily_field_override(code, day_int, field); rebuild_from_archive/engine\data_api.py:167:                self.compat.get_daily_field_override(sec, end_int, field); rebuild_from_archive/engine\data_api.py:222:                    self.compat.get_daily_field_override(sec, end_int, field); rebuild_from_archive/project_compat.py:90:    def get_daily_field_override(self, security, date_int, field):",2020-08-28; 2021-09-10; 2021-11-15; 2022-07-01; 2024-07-16; 2024-12-03; 2024-12-09; 2025-09-29; 2026-05-27,000420.XSHE; 002121.XSHE; 002141.XSHE; 002185.XSHE; 002256.XSHE; 002265.XSHE; 600032.XSHG; 603393.XSHG; 603569.XSHG; 603773.XSHG,open; high; high_limit; money,Patch specific daily field values before selection/state logic consumes them.,data_correction,investigate,"Some rows overlap the externally reported 2026 anomaly window, but that external audit has not been accepted or merged. Others are isolated point answers whose root cause is not yet assigned.","engine/data_api.py and engine/core.py both query get_daily_field_override. Some entries overlap the 2026 window reported in an external, unmerged branch.",True,True,False,False,True,investigation,Split the group into true source-data defects vs JoinQuant-only answers before moving ownership.,Disable only after each remaining point is either archived as JQ-only or repaired upstream.,Delete only after the mixed bundle is decomposed and each member has a final owner.,tools/hook_migration_acceptance.py targeted 2026 corrupted daily fastpath check,investigation_pending,12,2020; 2021; 2022; 2024; 2025; 2026,4,3,False,,data_shape,strategy_path,False,1,0,3,"codex/data-quality-propagation-audit branch, commit b951d3885f09fcc6d455675799a295c569af5439",unreviewed
execution.preopen_reject_cash_below,rebuild_from_archive.compat.execution,PREOPEN_REJECT_CASH_BELOW,"rebuild_from_archive/engine\core.py:471:            should_reject, cash_threshold = self.compat.should_reject_preopen_cash(; rebuild_from_archive/project_compat.py:104:    def should_reject_preopen_cash(self, date_key, time_key, available_cash):",2025-03-19,,available_cash; preopen_order_acceptance,Reject pre-open orders below a recorded cash threshold at a specific timestamp.,jq_platform_behavior,archive_jq_only,"This is a recorded JoinQuant answer for one historical event, not a general exchange rule.",engine/core.py calls compat.should_reject_preopen_cash inside _should_reject_jq_preopen_order.,False,False,True,False,True,jq_archive,Keep under JQ replay only; local-native mode should not inherit date-specific cash floors.,"Safe early-disable candidate when leaving JQ parity, with the expectation that only order acceptance and downstream NAV change.",Delete when JQ pre-open rejection replay is no longer a supported mode.,tools/hook_migration_acceptance.py targeted 2025 preopen cash floor check,archive_candidate,1,2025,2,4,False,L2,order_presence,strategy_path,False,1,0,1,,
execution.preopen_reject_orders,rebuild_from_archive.compat.execution,PREOPEN_REJECT_ORDERS,"rebuild_from_archive/engine\core.py:487:            and self.compat.should_reject_preopen_order(date_key, security); rebuild_from_archive/project_compat.py:108:    def should_reject_preopen_order(self, date_key, security):",,,preopen_order_acceptance,Reject whole pre-open orders for explicit date/code pairs.,jq_platform_behavior,archive_jq_only,This is only meaningful for replaying specific historical JoinQuant refusals.,engine/core.py calls compat.should_reject_preopen_order inside _should_reject_jq_preopen_order.,False,False,True,False,False,jq_archive,Keep only with the archived JQ execution profile.,Can be disabled with JQ parity hooks; impacts order presence but not upstream candidate logic.,Delete after dropping archived JoinQuant pre-open order replay support.,Inventory scan only; current set is empty so retirement risk is low.,archive_candidate,0,,2,3,False,L2,order_presence,strategy_path,True,1,0,1,,
execution.preopen_drop_first_duplicate,rebuild_from_archive.compat.execution,PREOPEN_DROP_FIRST_DUPLICATE,"rebuild_from_archive/engine\core.py:505:            or not self.compat.should_drop_first_preopen_duplicate(date_key, order.security); rebuild_from_archive/project_compat.py:111:    def should_drop_first_preopen_duplicate(self, date_key, security):",2021-04-26; 2021-12-01; 2021-12-08; 2022-08-02; 2022-11-24; 2022-12-02,000547.XSHE; 000600.XSHE; 002120.XSHE; 002508.XSHE; 600072.XSHG; 603589.XSHG,pending_orders,Drop the first duplicate pre-open pending order on recorded dates to match JoinQuant queue behavior.,jq_platform_behavior,archive_jq_only,"This duplicates a platform queue quirk, not a stable project rule.",engine/core.py calls compat.should_drop_first_preopen_duplicate inside _apply_jq_preopen_duplicate_order_anomaly.,False,False,True,False,False,jq_archive,Keep only in the JQ replay profile; local-native should use native duplicate-order handling.,Can be disabled with only order-path effects once JQ parity is no longer required.,Delete after archived JoinQuant duplicate-order replay is retired.,tools/hook_migration_acceptance.py targeted 2021 preopen duplicate check,archive_candidate,6,2021; 2022,2,4,False,L2,order_presence,strategy_path,False,1,0,1,,
execution.execution_price_anomalies,rebuild_from_archive.compat.execution,EXECUTION_PRICE_ANOMALIES,"rebuild_from_archive/engine\core.py:1133:                override = self.compat.get_execution_price_override(day_key, norm_time, security, side); rebuild_from_archive/project_compat.py:94:    def get_execution_price_override(self, date_key, time_key, security, side):",2020-01-16; 2020-01-20; 2020-01-21; 2020-01-22; 2020-02-06; 2020-02-10; 2020-02-11; 2020-02-12; 2020-02-14; 2020-02-18; 2020-02-19; 2020-02-20; 2020-02-24; 2020-02-25; 2020-02-26; 2020-02-27; 2020-03-02; 2020-03-04; 2020-03-05; 2020-03-11; 2020-03-12; 2020-03-13; 2020-03-17; 2020-03-18; 2020-03-19; 2020-03-25; 2020-03-27; 2020-03-30; 2020-03-31; 2020-04-02; 2020-04-03; 2020-04-08; 2020-04-14; 2020-04-15; 2020-04-16; 2020-04-17; 2020-04-22; 2020-04-27; 2020-05-12; 2020-05-14; 2020-05-15; 2020-05-18; 2020-05-19; 2020-05-20; 2020-06-02; 2020-06-03; 2020-06-04; 2020-06-05; 2020-06-08; 2020-06-09; 2020-06-10; 2020-06-11; 2020-06-12; 2020-06-16; 2020-06-17; 2020-06-18; 2020-06-19; 2020-06-22; 2020-06-23; 2020-06-24; 2020-06-29; 2020-06-30; 2020-07-01; 2020-07-03; 2020-07-06; 2020-07-07; 2020-07-08; 2020-07-09; 2020-08-20; 2023-02-27; 2023-03-23; 2023-12-12,000034.XSHE; 000049.XSHE; 000505.XSHE; 000592.XSHE; 000650.XSHE; 000700.XSHE; 000800.XSHE; 000818.XSHE; 000987.XSHE; 002041.XSHE; 002063.XSHE; 002075.XSHE; 002079.XSHE; 002137.XSHE; 002156.XSHE; 002183.XSHE; 002184.XSHE; 002185.XSHE; 002208.XSHE; 002221.XSHE; 002229.XSHE; 002279.XSHE; 002340.XSHE; 002351.XSHE; 002365.XSHE; 002371.XSHE; 002395.XSHE; 002402.XSHE; 002409.XSHE; 002413.XSHE; 002428.XSHE; 002444.XSHE; 002466.XSHE; 002470.XSHE; 002532.XSHE; 002596.XSHE; 002603.XSHE; 002605.XSHE; 002612.XSHE; 002686.XSHE; 002873.XSHE; 002891.XSHE; 002915.XSHE; 002930.XSHE; 002935.XSHE; 300037.XSHE; 300448.XSHE; 300463.XSHE; 300677.XSHE; 600027.XSHG; 600095.XSHG; 600126.XSHG; 600143.XSHG; 600198.XSHG; 600221.XSHG; 600223.XSHG; 600241.XSHG; 600268.XSHG; 600315.XSHG; 600318.XSHG; 600469.XSHG; 600515.XSHG; 600518.XSHG; 600550.XSHG; 600654.XSHG; 600812.XSHG; 600831.XSHG; 600859.XSHG; 600884.XSHG; 600966.XSHG; 600973.XSHG; 600988.XSHG; 601330.XSHG; 601788.XSHG; 601908.XSHG; 601999.XSHG; 603083.XSHG; 603101.XSHG; 603185.XSHG; 603186.XSHG; 603608.XSHG; 603626.XSHG; 603788.XSHG; 603912.XSHG,trade_price,Force execution prices for specific date/time/code/side combinations on the parity path.,jq_platform_behavior,archive_jq_only,"These are historical fill answers, not a general-purpose matcher rule.",engine/core.py queries get_execution_price_override inside _apply_jq_execution_price_anomaly during order matching.,False,False,False,True,True,jq_archive,Archive with the JQ replay execution profile; do not upstream to local-native matching.,Good first-wave disable candidate for local-native if fill-price drift is acceptable.,Delete after JoinQuant execution-price parity is no longer maintained.,tests/test_compat_entrypoints.py::test_minute_and_execution_overrides,archive_candidate,109,2020; 2023,2,4,False,L1A,price,cash_path,False,1,0,1,,
